word,type,level,中文解釋
cleaner,n.,2,
clerk,n.,2,
clever,adj.,2,
climate,n.,2,
closet,n.,2,
cloth,n.,2,
clothe,v.,2,
clothes,n.,2,
clothing,n.,2,
cloudy,adj.,2,
clown,n./v.,2,
club,n./v.,2,
coach,n./v.,2,
coal,n.,2,
cock,n.,2,
cockroach/roach,n.,2,
coin,n./v.,2,
collect,v.,2,
colorful,adj.,2,
comb,n./v.,2,
comfortable,adj.,2,
company,n.,2,
compare,v.,2,
complain,v.,2,
complete,adj./v.,2,
computer,n.,2,
confirm,v.,2,
conflict,n./v.,2,
Confucius,n.,2,
congratulation(s),n.,2,
consider,v.,2,
contact,n./v.,2,
contain,v.,2,
control,n./v.,2,
controller,n.,2,
convenient,adj.,2,
conversation,n.,2,
cooker,n.,2,
copy/Xerox/xerox,n./v.,2,
corner,n.,2,
costly,adj.,2,
cotton,n.,2,
cough,v./n.,2,
countryside,n.,2,
county,n.,2,
couple,n./v.,2,
courage,n.,2,
court,n./v.,2,
cousin,n.,2,
crab,n.,2,
crane,n./v.,2,
crayon,n.,2,
crazy,adj.,2,
cream,n./adj.,2,
create,v.,2,
crime,n.,2,
crisis,n.,2,
crop,n./v.,2,
cross,n./v.,2,
crow(1),n.,2,
crow(2),v.,2,
crowd,n./v.,2,
cruel,adj.,2,
culture,n.,2,
cure,v./n.,2,
curious,adj.,2,
curtain/drape,n./v.,2,
custom,n.,2,
customer,n.,2,
daily,adj./adv./n.,2,
damage,n./v.,2,
dangerous,adj.,2,
data,n.,2,
dawn,n./v.,2,
deaf,adj.,2,
debate,n./v.,2,
debt,n.,2,
decision,n.,2,
decorate,v.,2,
degree,n.,2,
delay,v./n.,2,
delicious,adj.,2,
deliver,v.,2,
dentist,n.,2,
deny,v.,2,
department,n.,2,
depend,v.,2,
depth,n.,2,
describe,v.,2,
desert(1),n.,2,
desert(2),v.,2,
design,n./v.,2,
desire,n./v.,2,
dessert,n.,2,
detect,v.,2,
develop(ment),v./(n.),2,
dew,n.,2,
dial,n./v.,2,
diamond,n.,2,
diary,n.,2,
dictionary,n.,2,
difference,n.,2,
difficulty,n.,2,
dinosaur,n.,2,
direction,n.,2,
director,n.,2,
disagree(ment),v./(n.),2,
disappear,v.,2,
discuss,v.,2,
discussion,n.,2,
dishonest,adj.,2,
display,v./n.,2,
distance,n./v.,2,
distant,adj.,2,
divide,v./n.,2,
division,n.,2,
dizzy,adj.,2,
dolphin,n.,2,
donkey,n.,2,
dot,n./v.,2,
double,adj./adv./n./v.,2,
doubt,n./v.,2,
doughnut,n.,2,
downtown,adv./adj./n.,2,
Dr.,n.,2,
drag,v./n.,2,
dragon,n.,2,
dragonfly,n.,2,
drama,n.,2,
drawer,n.,2,
drawing,n.,2,
dress,n./v.,2,
drop,v./n.,2,
drug,n./v.,2,
drugstore,n.,2,
drum,n./v.,2,
dryer,n.,2,
dull,adj./v.,2,
dumb,adj.,2,
dumpling,n.,2,
duty,n.,2,
earn,v.,2,
earthquake,n.,2,
eastern,adj.,2,
education,n.,2,
effect,n./v.,2,
effective,adj.,2,
effort,n.,2,
elder,adj./n.,2,
elect,v./adj.,2,
element,n.,2,
elevator,n.,2,
emotion,n.,2,
encourage(ment),v./(n.),2,
ending,n.,2,
enemy,n.,2,
energy,n.,2,
enjoy(ment),v./(n.),2,
entire,adj.,2,
entrance,n.,2,
envelope,n.,2,
environment,n.,2,
eraser,n.,2,
error,n.,2,
especially,adv.,2,
event,n.,2,
exact,adj.,2,
excellent,adj.,2,
excite(ment),v./(n.),2,
excuse,n./v.,2,
exercise,n./v.,2,
exist,v.,2,
expect,v.,2,
expensive,adj.,2,
experience,n./v.,2,
expert,n./adj.,2,
explain,v.,2,
express(1),v.,2,
express(2),adj./adv./n.,2,
extra,adj./adv./n.,2,
eyebrow/brow,n.,2,
fail,v./n.,2,
failure,n.,2,
fair(1),adj./adv.,2,
fair(2),n.,2,
famous,adj.,2,
fault,n./v.,2,
favor,n./v.,2,
favorite,adj./n.,2,
fearful,adj.,2,
fee,n.,2,
fellow,n.,2,
female,adj./n.,2,
fence,n./v.,2,
festival,n.,2,
fever,n.,2,
field,n.,2,
fighter,n.,2,
figure,n./v.,2,
film,n./v.,2,
fireman/firewoman,n.,2,
firm,adj./adv./v.,2,
fisherman,n.,2,
fit,adj./v./n./adv.,2,
fix,v./n.,2,
flag,n./v.,2,
flash,v./n.,2,
flashlight/flash,n.,2,
flat,adj./adv./n./v.,2,
flight,n.,2,
flood,n./v.,2,
flour,n./v.,2,
flow,v./n.,2,
flu,n.,2,
flute,n./v.,2,
focus,n./v.,2,
foggy,adj.,2,
following,prep./n./adj.,2,
fool(1),n.,2,
fool(2),v.,2,
foolish,adj.,2,
football,n.,2,
foreigner,n.,2,
forgive,v.,2,
form,n./v.,2,
formal,adj.,2,
former,adj.,2,
forward,adj./n./adv./v.,2,
forward(s),adv.,2,
fox,n.,2,
frank,adj.,2,
freedom,n.,2,
freezer,n.,2,
friendly,adj.,2,
fright,n.,2,
frighten,v.,2,
function,n./v.,2,
further,adv./adj./v.,2,
future,n./adj.,2,
gain,v./n.,2,
garage,n./v.,2,
garbage,n.,2,
gardener,n.,2,
gate,n.,2,
gather,v.,2,
general(2),n.,2,
generous,adj.,2,
gentle,adj.,2,
gentleman,n.,2,
geography,n.,2,
giant,n./adj.,2,
giraffe,n.,2,
glove(s),n.,2,
glue,n./v.,2,
goal,n.,2,
goat,n.,2,
golden,adj.,2,
golf,n./v.,2,
govern,v.,2,
government,n.,2,
grade,n./v.,2,
grape,n.,2,
grassy,adj.,2,
greedy,adj.,2,
greet,v.,2,
growth,n.,2,
guard,n./v.,2,
guava,n.,2,
guitar,n.,2,
guy,n.,2,
habit,n.,2,
hall,n.,2,
hamburger/burger,n.,2,
hammer,n./v.,2,
handkerchief,n.,2,
handle(1),n.,2,
handle(2),v.,2,
handsome,adj.,2,
hang,v.,2,
hanger,n.,2,
hardly,adv.,2,
hateful,adj.,2,
healthy,adj.,2,
heater,n.,2,
height,n.,2,
helpful,adj.,2,
hen,n.,2,
hero/heroine,n.,2,
hide,v.,2,
highway,n.,2,
hip,n.,2,
hippopotamus/hippo,n.,2,
hire,v./n.,2,
hobby,n.,2,
holder,n.,2,
homesick,adj.,2,
honest,adj.,2,
honey,n.,2,
hop,v./n.,2,
hospital,n.,2,
host(1)/hostess,n.,2,
hotel,n.,2,
however,adv.,2,
hum,v./n.,2,
humble,adj./v.,2,
humid,adj.,2,
humor,n.,2,
hunger,n.,2,
hunt,v./n.,2,
hunter,n.,2,
hurry,v./n.,2,
ignore,v.,2,
ill,adj./adv./n.,2,
imagine,v.,2,
importance,n.,2,
improve(ment),v./(n.),2,
include,v.,2,
income,n.,2,
increase,v./n.,2,
independence,n.,2,
independent,adj.,2,
indicate,v.,2,
industry,n.,2,
influence,n./v.,2,
ink,n./v.,2,
insect,n.,2,
insist,v.,2,
instance,n./v.,2,
instant,adj./n.,2,
instrument,n.,2,
international,adj.,2,
interview,n./v.,2,
introduce,v.,2,
invent,v.,2,
invitation,n.,2,
invite,v./n.,2,
island,n.,2,
item,n.,2,
jacket,n.,2,
jam(2),v./n.,2,
jazz,n./v.,2,
jeans,n.,2,
jeep,n.,2,
jog,v./n.,2,
joint,n./adj./v.,2,
judge(1),n.,2,
judge(ment/judgment)(2),v./(n.),2,
juicy,adj.,2,
ketchup/catsup,n.,2,
kindergarten,n.,2,
kingdom,n.,2,
knock,v./n.,2,
knowledge,n.,2,
koala,n.,2,
ladybug/ladybird,n.,2,
lane,n.,2,
language,n.,2,
lantern,n.,2,
lap,n.,2,
latest,adj.,2,
lawyer,n.,2,
leadership,n.,2,
legal,adj.,2,
lemon,n.,2,
lemonade,n.,2,
lend,v.,2,
length,n.,2,
leopard,n.,2,
lettuce,n.,2,
library,n.,2,
lick,v./n.,2,
lid,n.,2,
lightning,n.,2,
limit,n./v.,2,
link,n./v.,2,
liquid,n.,2,
listener,n.,2,
loaf,n.,2,
local,adj./n.,2,
locate,v.,2,
lock,n./v.,2,
log,n./v.,2,
lone,adj.,2,
lonely,adj.,2,
lose,v.,2,
loser,n.,2,
loss,n.,2,
lovely,adj.,2,
lover,n.,2,
lower,v.,2,
luck,n.,2,
magazine,n.,2,
magic,n./adj.,2,
magician,n.,2,
main,adj./n.,2,
maintain,v.,2,
male,adj./n.,2,
Mandarin,n.,2,
mango,n.,2,
manner,n.,2,
mark,v./n.,2,
marriage,n.,2,
mask,n./v.,2,
mass,n.,2,
mat,n.,2,
match(2),n./v.,2,
mate,n./v.,2,
material(1),n.,2,
meal,n.,2,
meaning,n.,2,
means,n.,2,
measurable,adj.,2,
measure(1)(ment),v./(n.),2,
medicine,n.,2,
meeting,n.,2,
melody,n.,2,
melon,n.,2,
member,n.,2,
memory,n.,2,
menu,n.,2,
message,n.,2,
metal,n./adj.,2,
meter,n.,2,
method,n.,2,
military,adj./n.,2,
million,n.,2,
mine(1),n./v.,2,
mine(2),pron.,2,
minus,prep./n./adj.,2,
mirror,n./v.,2,
mix,v./n.,2,
model,n./v.,2,
modern,adj.,2,
monster,n.,2,
mosquito,n.,2,
moth,n.,2,
motion,n./v.,2,
motorcycle,n.,2,
movable,adj.,2,
MRT/mass rapid transit/subway/underground/metro,n.,2,
mule,n.,2,
multiply,v.,2,
museum,n.,2,
musician,n.,2,
nail(1),n.,2,
nail(2),n./v.,2,
naked,adj.,2,
napkin,n.,2,
narrow,adj./v.,2,
national,adj.,2,
natural,adj.,2,
naughty,adj.,2,
nearby,adj./adv.,2,
nearly,adv.,2,
neat,adj.,2,
necessary,adj.,2,
necklace,n.,2,
needle,n./v.,2,
negative,adj./n.,2,
neighbor,n./v.,2,
neither,adj./adv./pron./conj.,2,
nephew,n.,2,
nest,n./v.,2,
net,n./v.,2,
niece,n.,2,
nobody,pron./n.,2,
nod,v./n.,2,
none,pron./adv.,2,
noodle,n.,2,
northern,adj.,2,
notebook,n.,2,
novel(1),adj.,2,
novel(2),n.,2,
nut,n.,2,
obey,v.,2,
object(1),n.,2,
object(2),v.,2,
occur,v.,2,
offer,n./v.,2,
official,adj./n.,2,
omit,v.,2,
onion,n.,2,
operate,v.,2,
opinion,n.,2,
ordinary,adj.,2,
organ,n.,2,
organization,n.,2,
organize,v.,2,
oven,n.,2,
overpass,n.,2,
overseas,adj./adv.,2,
owl,n.,2,
owner,n.,2,
ox,n.,2,
pack,n./v.,2,
package,n./v.,2,
pain,n./v.,2,
painful,adj.,2,
painter,n.,2,
painting,n.,2,
pajamas,n.,2,
palm,n.,2,
pan,n.,2,
panda,n.,2,
papaya,n.,2,
pardon,n./v.,2,
parrot,n./v.,2,
particular,adj.,2,
partner,n.,2,
passenger,n.,2,
paste,n./v.,2,
pat,v./n.,2,
path,n.,2,
patient(1),adj.,2,
patient(2),n.,2,
pattern,n./v.,2,
peace,n.,2,
peaceful,adj.,2,
peach,n.,2,
peanut,n.,2,
pear,n.,2,
penguin,n.,2,
pepper,n./v.,2,
per,prep.,2,
perfect,adj./v./n.,2,
period,n.,2,
personal,adj.,2,
photograph/photo,n./v.,2,
photographer,n.,2,
phrase,n./v.,2,
pick,v./n.,2,
picnic,n./v.,2,
pigeon,n.,2,
pile,n./v.,2,
pillow,n./v.,2,
pin,n./v.,2,
pineapple,n.,2,
ping-pong/table tennis,n.,2,
pink,adj./n.,2,
pipe,n./v.,2,
pitch,v./n.,2,
pizza,n.,2,
plain(1),adj.,2,
plain(2),n.,2,
planet,n.,2,
plate,n./v.,2,
platform,n.,2,
playful,adj.,2,
pleasant,adj.,2,
pleasure,n.,2,
plus,prep./n./adj.,2,
poem,n.,2,
poet,n.,2,
poison,n./v.,2,
policy,n.,2,
polite,adj.,2,
popular,adj.,2,
population,n.,2,
pork,n.,2,
port,n.,2,
pose,v./n.,2,
positive,adj./n.,2,
possibility,n.,2,
post(1),n./v.,2,
post(2),n./v./adv.,2,
post(3),n./v.,2,
postcard,n.,2,
pot,n./v.,2,
potato,n.,2,
pound(1),n.,2,
pound(2),v.,2,
powerful,adj.,2,
praise,v./n.,2,
pray,v.,2,
prefer,v.,2,
presence,n.,2,
present(1),adj./n.,2,
present(2),n.,2,
present(3),v.,2,
president,n.,2,
press(1),n.,2,
press(2),v./n.,2,
pride,n./v.,2,
prince,n.,2,
princess,n.,2,
principal(1),adj.,2,
principal(2),n.,2,
principle,n.,2,
printer,n.,2,
prison,n.,2,
prisoner,n.,2,
private,adj.,2,
prize,n./v.,2,
produce,v./n.,2,
producer,n.,2,
progress,n./v.,2,
project(1),n./v.,2,
project(2),v.,2,
promise,n./v.,2,
pronounce,v.,2,
propose,v.,2,
protect,v.,2,
proud,adj.,2,
provide,v.,2,
pudding,n.,2,
pump,n./v.,2,
pumpkin,n.,2,
punish(ment),v./(n.),2,
pupil,n.,2,
puppet,n.,2,
puppy,n.,2,
purse,n.,2,
puzzle,n./v.,2,
quality,n.,2,
quantity,n.,2,
quarter,n./v.,2,
quit,v.,2,
quiz,n./v.,2,
rabbit,n.,2,
rainy,adj.,2,
range,n./v.,2,
rapid,adj.,2,
rare,adj.,2,
rather,adv.,2,
reality,n.,2,
realize,v.,2,
recent,adj.,2,
record(1),n.,2,
record(2),v.,2,
rectangle,n.,2,
refrigerator/fridge/icebox,n.,2,
refuse,v.,2,
regard,v./n.,2,
region,n.,2,
regular,adj./n.,2,
reject,v.,2,
relation,n.,2,
relationship,n.,2,
repeat,v./n.,2,
reply,v./n.,2,
reporter,n.,2,
require(ment),v./(n.),2,
respect,n./v.,2,
responsible,adj.,2,
restaurant,n.,2,
restroom/rest room,n.,2,
result,n./v.,2,
review,n./v.,2,
riches,n.,2,
rock(2),v.,2,
rocky,adj.,2,
role,n.,2,
royal,adj.,2,
rude,adj.,2,
ruler,n.,2,
runner,n.,2,
rush,v./n.,2,
safety,n.,2,
sailor,n.,2,
salad,n.,2,
salty,adj.,2,
sample,n./v.,2,
sandwich,n./v.,2,
satisfy,v.,2,
sauce,n./v.,2,
science,n.,2,
scientist,n.,2,
scissors,n.,2,
score,n./v.,2,
screen,n./v.,2,
search,v./n.,2,
secret,adj./n.,2,
secretary,n.,2,
section,n./v.,2,
select,v./adj.,2,
selection,n.,2,
semester,n.,2,
separate,adj./v.,2,
serious,adj.,2,
servant,n.,2,
settle(ment),v./(n.),2,
share,n./v.,2,
shelf,n.,2,
shell,n./v.,2,
shock,n./v.,2,
shoot,v./n.,2,
shorts,n.,2,
shower,n./v.,2,
shrimp,n.,2,
sidewalk,n.,2,
sign,n./v.,2,
silence,n./v.,2,
silent,adj.,2,
silk,n.,2,
similar,adj.,2,
simply,adv.,2,
single,adj./n./v.,2,
sink(1),v.,2,
sink(2),n.,2,
skillful/skilled,adj.,2,
skinny,adj.,2,
skirt,n./v.,2,
sleepy,adj.,2,
slender,adj.,2,
slide,v./n.,2,
slim,adj./v.,2,
slip,v./n.,2,
slipper(s),n.,2,
snack,n./v.,2,
snail,n.,2,
snowy,adj.,2,
so(1),adv.,2,
so(2),conj.,2,
soccer,n.,2,
social,adj.,2,
society,n.,2,
sock(s),n.,2,
soldier,n.,2,
solution,n.,2,
solve,v.,2,
somebody,pron./n.,2,
somewhere,adv.,2,
sort,n./v.,2,
source,n.,2,
southern,adj.,2,
soybean/soya bean/soy,n.,2,
speaker,n.,2,
speed,n./v.,2,
spelling,n.,2,
spider,n.,2,
spinach,n.,2,
spirit,n.,2,
spot,n./v.,2,
spread,v./n.,2,
spring(2),v./n.,2,
square,adj./n.,2,
squirrel,n.,2,
stage,n./v.,2,
stamp,v./n.,2,
standard,n./adj.,2,
steak,n.,2,
steal,v.,2,
steam,n./v.,2,
steel,n./v.,2,
stick(1),n.,2,
stick(2),v.,2,
stomach,n.,2,
storm,n./v.,2,
stove,n.,2,
straight,adj./n./adv.,2,
stranger,n.,2,
straw,n.,2,
strawberry,n.,2,
stream,n./v.,2,
stress,n./v.,2,
stretch,v./n.,2,
strict,adj.,2,
strike,v./n.,2,
string,n./v.,2,
struggle,v./n.,2,
subject,n.,2,
subtract,v.,2,
subway,n.,2,
succeed,v.,2,
success,n.,2,
successful,adj.,2,
sudden,adj./n.,2,
suit(1),n.,2,
suit(2),v.,2,
sunny,adj.,2,
supermarket,n.,2,
supply,v./n.,2,
support,v./n.,2,
surface,n./v.,2,
survive,v.,2,
swallow(1),n.,2,
swallow(2),v./n.,2,
swan,n.,2,
sweater,n.,2,
sweep,v./n.,2,
swing,v./n.,2,
symbol,n.,2,
talent,n.,2,
talkative,adj.,2,
tangerine,n.,2,
tank,n.,2,
tape,n./v.,2,
target,n./v.,2,
task,n./v.,2,
tasty,adj.,2,
team,n./v.,2,
tear(1),n./v.,2,
tear(2),v./n.,2,
teen(s),n.,2,
teenage,adj.,2,
teenager,n.,2,
telephone/phone,n./v.,2,
television/TV,n.,2,
temple,n.,2,
tennis,n.,2,
tent,n.,2,
term,n./v.,2,
terrible,adj.,2,
terrific,adj.,2,
test,n./v.,2,
textbook,n.,2,
theater,n.,2,
therefore,adv.,2,
thick,adj.,2,
thief,n.,2,
thin,adj.,2,
thirsty,adj.,2,
throat,n.,2,
through,prep./adv.,2,
throughout,prep./adv.,2,
thumb,n./v.,2,
thunder,n./v.,2,
tip,n./v.,2,
title,n./v.,2,
toast,n./v.,2,
toe,n./v.,2,
tofu/bean curd,n.,2,
toilet,n.,2,
tomato,n.,2,
tongue,n./v.,2,
tooth,n.,2,
topic,n.,2,
tour,n./v.,2,
towel,n./v.,2,
tower,n./v.,2,
track,n./v.,2,
trade,n./v.,2,
tradition,n.,2,
traditional,adj.,2,
traffic,n./v.,2,
trap,n./v.,2,
travel,v./n.,2,
treasure,n./v.,2,
treat(1)(ment),v./(n.),2,
treat(2),n.,2,
trial,n.,2,
triangle,n.,2,
trick,n./v.,2,
trousers,n.,2,
truck,n./v.,2,
trumpet,n./v.,2,
trust,n./v.,2,
truth,n.,2,
tube,n.,2,
tunnel,n./v.,2,
turkey,n.,2,
turtle,n.,2,
type(1),n.,2,
type(2),v.,2,
typhoon,n.,2,
ugly,adj.,2,
umbrella,n.,2,
underwear,n.,2,
uniform,adj./n./v.,2,
upon,prep.,2,
upper,adj.,2,
used,adj.,2,
used to (1),v.(aux.),2,
used to (2),adj.,2,
user,n.,2,
usual,adj.,2,
vacation,n./v.,2,
valley,n.,2,
value,n./v.,2,
victory,n.,2,
video,adj./n./v.,2,
village,n.,2,
violin,n.,2,
visitor,n.,2,
vocabulary,n.,2,
volleyball,n.,2,
vote,n./v.,2,
voter,n.,2,
waist,n.,2,
waiter/waitress,n.,2,
wake,v.,2,
wallet,n.,2,
waterfall,n.,2,
watermelon,n.,2,
wave,n./v.,2,
weapon,n.,2,
wed,v.,2,
weekday,n.,2,
western,adj./n.,2,
wet,adj./v.,2,
whale,n.,2,
whatever,adj./pron.,2,
wheel,n./v.,2,
whenever,conj./adv.,2,
wherever,adv./conj.,2,
whisper,v./n.,2,
whoever,pron.,2,
widen,v.,2,
width,n.,2,
wild,adj./adv./n.,2,
willing,adj.,2,
windy,adj.,2,
wing,n./v.,2,
winner,n.,2,
wire,n./v.,2,
wise,adj.,2,
within,prep./adv.,2,
without,prep./adv.,2,
wolf,n.,2,
wonder,n./v.,2,
wonderful,adj.,2,
wooden,adj.,2,
wool,n.,2,
worth,adj./n.,2,
wound,n./v.,2,
yard,n.,2,
youth,n.,2,
zebra,n.,2,
aboard,adv./prep.,3,
acceptable,adj.,3,
accident,n.,3,
account(1),n.,3,
account(2),v.,3,
accurate,adj.,3,
ache,n./v.,3,
achieve(ment),v./(n.),3,
activity,n.,3,
actual,adj.,3,
additional,adj.,3,
admire,v.,3,
admit,v.,3,
adopt,v.,3,
advanced,adj.,3,
advantage,n.,3,
adventure,n.,3,
advertise(ment/ad),v./(n.),3,
advice,n.,3,
advise,v.,3,
adviser/advisor,n.,3,
affect,v.,3,
afford,v.,3,
afterward(s),adv.,3,
agriculture,n.,3,
air-conditioner,n.,3,
alley,n.,3,
amaze(ment),v./(n.),3,
ambassador,n.,3,
ambition,n.,3,
angel,n.,3,
angle,n.,3,
announce(ment),v./(n.),3,
apart,adv.,3,
apparent,adj.,3,
appeal,n./v.,3,
appreciate,v.,3,
approach,v./n.,3,
approve,v.,3,
aquarium,n.,3,
arithmetic,n./adj.,3,
arrival,n.,3,
ash,n.,3,
aside,adv.,3,
assist,v.,3,
athlete,n.,3,
attempt,v./n.,3,
attitude,n.,3,
attract,v.,3,
attractive,adj.,3,
audience,n.,3,
author,n./v.,3,
automatic,adj.,3,
automobile/auto,n.,3,
available,adj.,3,
avenue,n.,3,
average,adj./n./v.,3,
awake,adj./v.,3,
awaken,v.,3,
award,n./v.,3,
aware,adj.,3,
awful,adj.,3,
ax/axe,n./v.,3,
background,n.,3,
bacon,n.,3,
bacteria,n.,3,
badly,adv.,3,
badminton,n.,3,
baggage,n.,3,
bait,n./v.,3,
balance,n./v.,3,
bandage,n./v.,3,
bang,n./v./adv.,3,
bare,adj./v.,3,
barely,adv.,3,
barn,n.,3,
barrel,n.,3,
bay,n.,3,
beam(1),v.,3,
beast,n.,3,
beggar,n.,3,
behave,v.,3,
being,n.,3,
belly/stomach/tummy/abdomen,n.,3,
beneath,prep.,3,
benefit,n./v.,3,
berry,n.,3,
Bible/bible,n.,3,
billion,n.,3,
bingo,n.,3,
biscuit,n.,3,
blame,v./n.,3,
blanket,n./v.,3,
bleed,v.,3,
bless,v.,3,
blouse,n.,3,
bold,adj.,3,
boot,n./v.,3,
border,n./v.,3,
bore,v./n.,3,
brake,n./v.,3,
brass,n./adj.,3,
bravery,n.,3,
breast,n.,3,
breath,n.,3,
breathe,v.,3,
breeze,n./v.,3,
bride,n.,3,
brilliant,adj.,3,
brook,n.,3,
broom,n.,3,
brow(s),n.,3,
bubble,n./v.,3,
bucket/pail,n.,3,
bud,n./v.,3,
budget,n./v.,3,
buffalo,n.,3,
buffet,n.,3,
bulb,n.,3,
bull,n.,3,
bullet,n.,3,
bump,v./n.,3,
bunch,n.,3,
burden,n./v.,3,
burglar,n.,3,
bury,v.,3,
bush,n.,3,
buzz,v./n.,3,
cabin,n.,3,
campus,n.,3,
cane,n.,3,
canoe,n./v.,3,
canyon,n.,3,
capable,adj.,3,
capital(1),n./adj.,3,
capture,v./n.,3,
carpenter,n.,3,
carriage,n.,3,
cast(1),v./n.,3,
cast(2),n./v.,3,
casual,adj.,3,
caterpillar,n.,3,
cattle,n.,3,
celebrate,v.,3,
centimeter,n.,3,
ceramic,adj./n.,3,
chain,n./v.,3,
challenge,n./v.,3,
champion,n.,3,
changeable,adj.,3,
channel,n./v.,3,
chapter,n.,3,
charm,n./v.,3,
chat,v./n.,3,
cheek,n.,3,
cheer,n./v.,3,
cheerful,adj.,3,
cheese,n.,3,
cherry,n./adj.,3,
chest,n.,3,
chew,v./n.,3,
childhood,n.,3,
chill,n./v./adj.,3,
chilly,adj.,3,
chimney,n.,3,
chip,n./v.,3,
choke,v./n.,3,
chop,v./n.,3,
cigarette,n.,3,
circus,n.,3,
civil,adj.,3,
classical,adj.,3,
click,v./n.,3,
client,n.,3,
clinic,n.,3,
clip,n./v.,3,
clue,n.,3,
cocktail,n.,3,
coconut,n.,3,
collar,n.,3,
collection,n.,3,
college,n.,3,
colony,n.,3,
column,n.,3,
combine,v.,3,
comfort,n./v.,3,
comma,n.,3,
command,v./n.,3,
commercial,adj./n.,3,
committee,n.,3,
communicate,v.,3,
comparison,n.,3,
compete,v.,3,
complaint,n.,3,
complex,adj./n.,3,
concern,v./n.,3,
concert,n.,3,
conclude,v.,3,
conclusion,n.,3,
condition,n./v.,3,
cone,n.,3,
confident,adj.,3,
confuse,v.,3,
connect,v.,3,
connection,n.,3,
conscious,adj.,3,
considerable,adj.,3,
consideration,n.,3,
constant,adj./n.,3,
continent,n.,3,
contract,n./v.,3,
couch,n./v.,3,
countable,adj.,3,
coward,n.,3,
cradle,n./v.,3,
crash,n./v.,3,
crawl,v./n.,3,
creative,adj.,3,
creator,n.,3,
creature,n.,3,
credit,n./v.,3,
creep,v.,3,
crew,n.,3,
cricket,n.,3,
criminal,adj./n.,3,
crisp/crispy,adj.,3,
crown,n./v.,3,
crunchy,adj.,3,
crutch,n.,3,
cultural,adj.,3,
cupboard,n.,3,
current,adj./n.,3,
cycle,n./v.,3,
dairy,n.,3,
dam,n./v.,3,
dare,v./aux.,3,
darling,n./adj.,3,
dash,v./n.,3,
deafen,v.,3,
dealer,n.,3,
decade,n.,3,
deck,n.,3,
deed,n.,3,
deepen,v.,3,
define,v.,3,
definition,n.,3,
delivery,n.,3,
democracy,n.,3,
democratic,adj.,3,
deposit,n./v.,3,
description,n.,3,
designer,n.,3,
desirable,adj.,3,
destroy,v.,3,
detail,n./v.,3,
determine,v.,3,
devil,n.,3,
dialogue,n.,3,
diet,n./v.,3,
diligent,adj.,3,
dim,adj./v.,3,
dime,n.,3,
dine,v.,3,
dip,v./n.,3,
dirt,n.,3,
disappoint(ment),v./(n.),3,
disco/discotheque,n.,3,
discount,n./v.,3,
discovery,n.,3,
disease,n.,3,
disk/disc,n.,3,
dislike,v./n.,3,
ditch,n./v.,3,
dive,v./n.,3,
dock,n./v.,3,
dodge,v./n.,3,
domestic,adj.,3,
dose,n./v.,3,
doubtful,adj.,3,
drain,v./n.,3,
dramatic,adj.,3,
drip,v./n.,3,
drown,v.,3,
drowsy,adj.,3,
drunk,adj./n.,3,
due,adj./n./adv.,3,
dump,v./n.,3,
dust,n./v.,3,
eager,adj.,3,
earnings,n.,3,
echo,n./v.,3,
edit,v.,3,
edition,n.,3,
editor,n.,3,
educate,v.,3,
educational,adj.,3,
efficient,adj.,3,
elbow,n./v.,3,
elderly,adj.,3,
election,n.,3,
electric/electrical,adj.,3,
electricity,n.,3,
electronic,adj.,3,
emergency,n.,3,
emperor,n.,3,
emphasize,v.,3,
employ(ment),v./(n.),3,
employee,n.,3,
employer,n.,3,
empty,adj./v.,3,
enable,v.,3,
energetic,adj.,3,
engage(ment),v./(n.),3,
engine,n.,3,
engineer,n.,3,
enjoyable,adj.,3,
entry,n.,3,
environmental,adj.,3,
envy,n./v.,3,
erase,v.,3,
escape,v./n.,3,
evil,adj./n.,3,
excellence,n.,3,
exchange,n./v.,3,
exhibition,n.,3,
existence,n.,3,
exit,n./v.,3,
expectation,n.,3,
expense,n.,3,
experiment,n./v.,3,
explode,v.,3,
export,v./n.,3,
expression,n.,3,
expressive,adj.,3,
extreme,adj./n.,3,
fable,n.,3,
factor,n.,3,
fade,v.,3,
faint,adj./v./n.,3,
fairly,adv.,3,
fairy,n./adj.,3,
faith,n.,3,
fake,adj./n./v.,3,
familiar,adj.,3,
fan(2)/fanatic,n.,3,
fancy,n./adj./v.,3,
fare,n.,3,
farther,adv./adj.,3,
fashion,n./v.,3,
fashionable,adj.,3,
fasten,v.,3,
fate,n.,3,
faucet/tap,n.,3,
fax,n./v.,3,
feather,n.,3,
feature,n./v.,3,
file,n./v.,3,
firework,n.,3,
fist,n./v.,3,
flame,n./v.,3,
flavor,n./v.,3,
flea,n.,3,
flesh,n.,3,
float,v./n.,3,
flock,n./v.,3,
fold,v./n.,3,
folk,n.,3,
follower,n.,3,
fond,adj.,3,
forehead/brow,n.,3,
forever,adv.,3,
forth,adv.,3,
fortune,n.,3,
found,v.,3,
fountain,n.,3,
freeze,v./n.,3,
frequent,adj./v.,3,
friendship,n.,3,
frustrate,v.,3,
fry,v./n.,3,
fund,n./v.,3,
fur,n.,3,
furniture,n.,3,
gallon,n.,3,
gamble,v./n.,3,
gang,n./v.,3,
gap,n.,3,
garlic,n.,3,
gasoline/gasolene/gas,n.,3,
gesture,n./v.,3,
glance,v./n.,3,
global,adj.,3,
glory,n./v.,3,
